site,date,temp_c,pressure_pa,met_rain_mm,wind_speed,met_wind_u,met_wind_v,lat,lon,elevation_mean,slope_mean,impervious_pct,NDVI_mean,NDBI_mean,wind_mag,temp_c_lag1,temp_c_lag3,temp_c_lag7,temp_c_diff1,temp_c_diff3,temp_c_rmean3,temp_c_rstd3,temp_c_rmean7,temp_c_rstd7,pressure_pa_lag1,pressure_pa_lag3,pressure_pa_lag7,pressure_pa_diff1,pressure_pa_diff3,pressure_pa_rmean3,pressure_pa_rstd3,pressure_pa_rmean7,pressure_pa_rstd7,met_rain_mm_lag1,met_rain_mm_lag3,met_rain_mm_lag7,met_rain_mm_diff1,met_rain_mm_diff3,met_rain_mm_rmean3,met_rain_mm_rstd3,met_rain_mm_rmean7,met_rain_mm_rstd7,wind_speed_lag1,wind_speed_lag3,wind_speed_lag7,wind_speed_diff1,wind_speed_diff3,wind_speed_rmean3,wind_speed_rstd3,wind_speed_rmean7,wind_speed_rstd7,met_wind_u_lag1,met_wind_u_lag3,met_wind_u_lag7,met_wind_u_diff1,met_wind_u_diff3,met_wind_u_rmean3,met_wind_u_rstd3,met_wind_u_rmean7,met_wind_u_rstd7,met_wind_v_lag1,met_wind_v_lag3,met_wind_v_lag7,met_wind_v_diff1,met_wind_v_diff3,met_wind_v_rmean3,met_wind_v_rstd3,met_wind_v_rmean7,met_wind_v_rstd7,wind_mag_lag1,wind_mag_lag3,wind_mag_lag7,wind_mag_diff1,wind_mag_diff3,wind_mag_rmean3,wind_mag_rstd3,wind_mag_rmean7,wind_mag_rstd7,met_rain_mm_rsum3,met_rain_mm_rsum7,doy_sin,doy_cos
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",2024-01-01,12.232321039835654,101959.83561197916,0.020015239613258,1.4272374011859563,1.244937260945638,-0.6979525883992513,32.677059485032586,-115.4871589216076,1.2871798624462236,1.655877017000827,57.96439225540108,0.17844240895485,-0.0112803805918288,1.4272374011859563,12.86903220000005,13.51894660000005,12.74767840000004,-0.6367111601643956,-1.2866255601643957,13.335117600000052,0.4066308993913974,13.579922157142894,0.6063204168931874,101920.6559,102165.0879,102194.208,39.17971197915904,-205.25228802084166,101975.16200000001,169.38312291821157,102090.41414285715,146.57846940460539,0.0008579999999999,0.000852,0.000852,0.0191572396132581,0.019163239613258002,0.0006146666666666333,0.00041628041776958595,0.0008754285714285572,0.0008390078715859471,1.518505498896438,0.8871549145877883,0.5512864500050327,-0.09126809771048161,0.540082486598168,1.3228733255810123,0.37799727673418776,0.774651675482306,0.571666921382694,1.518454234,0.84823672,0.54049774,-0.27351697305436207,0.3967005409456379,1.305053923000001,0.39589988191627956,0.6556006953571432,0.6941248487219814,0.0124775569,-0.259881337,-0.108530839,-0.7104301452992513,-0.43807125139925135,-0.1532420050333332,0.14547404219066978,-0.07120895367142853,0.19424134505894097,1.518505498896438,0.8871549145877883,0.5512864500050327,-0.09126809771048161,0.540082486598168,1.3228733255810108,0.3779972767342119,0.7746516754823062,0.5716669213827138,0.0018439999999999,0.0061279999999999,0.017201575418260506,0.9998520419557735
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",2024-01-02,12.25945625305178,102157.60791015624,0.0025868415605145,1.299697584147161,1.2562039693196614,0.3334147532780965,32.677059485032586,-115.4871589216076,1.2871798624462236,1.655877017000827,57.96439225540108,0.17844240895485,-0.0112803805918288,1.299697584147161,12.232321039835654,13.61737400000004,13.883105200000044,0.027135213216126886,-1.3579177469482602,12.906242413278585,0.6932758293757247,13.506299677119411,0.7406308010473072,101959.83561197916,101839.7422,102140.7778,197.77229817707848,317.86571015624213,101906.7445706597,61.24337280648156,102056.93237313988,145.6833734393264,0.020015239613258,0.000134,0.00258,-0.0174283980527435,0.0024528415605145,0.0070024132044193,0.011275250880259878,0.0036130342304654143,0.0072811861426093916,1.4272374011859563,1.5629595632588065,0.3592673553859783,-0.12753981703879536,-0.2632619791116455,1.502900821113735,0.06919361094775978,0.8997875256510094,0.6092593389349263,1.244937260945638,1.548470815,0.315243999,0.011266708374023438,-0.29226684568033856,1.4372874366485469,0.1672548694462156,0.7562349126350913,0.7250326442165149,-0.6979525883992513,-0.212322235,-0.172320207,1.031367341677348,0.5457369882780965,-0.2992657554997504,0.3631076006573606,-0.15541206072846445,0.30772328442471153,1.4272374011859563,1.5629595632588065,0.3592673553859783,-0.12753981703879536,-0.2632619791116455,1.5029008211137336,0.06919361094787836,0.8997875256510096,0.6092593389349437,0.0210072396132579,0.0252912396132579,0.03439806061360801,0.9994082116062598
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",2024-01-03,11.704717254638696,101959.73274739584,0.3731727599074474,0.8994303492518375,0.0823472340901692,0.8956527709960938,32.677059485032586,-115.4871589216076,1.2871798624462236,1.655877017000827,57.96439225540108,0.17844240895485,-0.0112803805918288,0.8994303492518374,12.25945625305178,12.86903220000005,13.974458900000002,-0.5547389984130842,-1.1643149453613528,12.453603164295833,0.3600278360504411,13.274349827555373,0.8492383738618723,102157.60791015624,101920.6559,102183.359,-197.8751627603924,39.07684739584511,102012.69980737846,127.0139013855423,102059.33667459076,147.42620485623374,0.0025868415605145,0.0008579999999999,0.000852,0.37058591834693294,0.3723147599074475,0.007820027057924133,0.010596680154205965,0.0036140115962532,0.007281024823102431,1.299697584147161,1.518505498896438,0.4217681891075183,-0.40026723489532345,-0.6190751496446004,1.41514682807652,0.10990387781079672,1.034134701188321,0.5728006500048138,1.2562039693196614,1.518454234,-0.275980751,-1.1738567352294922,-1.4361069999098308,1.3398651547551006,0.15476523866355255,0.8906577655379001,0.7168267525621945,0.3334147532780965,0.0124775569,0.318940481,0.5622380177179973,0.8831752140960938,-0.11735342607371814,0.5277989309145962,-0.08316420926016492,0.3583036940575596,1.299697584147161,1.518505498896438,0.42176818910751834,-0.40026723489532356,-0.6190751496446005,1.4151468280765185,0.10990387781087563,1.0341347011883213,0.5728006500048309,0.0234600811737724,0.0252980811737724,0.051584366869408364,0.9986686402879997
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",2024-01-04,12.444921747843466,101747.2236328125,0.0101476908298536,2.424656419409474,2.393620173136393,-0.3867055972417195,32.677059485032586,-115.4871589216076,1.2871798624462236,1.655877017000827,57.96439225540108,0.17844240895485,-0.0112803805918288,2.424656419409474,11.704717254638696,12.232321039835654,14.448859800000037,0.7402044932047698,0.2126007080078125,12.065498182508714,0.31273988934528746,12.950101021075186,0.9630565555348376,101959.73274739584,101959.83561197916,102189.0682,-212.50911458334303,-212.61197916665697,102025.72542317708,114.21359561640996,102027.39006707589,140.12031750176288,0.3731727599074474,0.020015239613258,0.0,-0.3630250690775938,-0.0098675487834044,0.1319249470270733,0.20910838739609863,0.0568026915830314,0.13969065223377186,0.8994303492518375,1.4272374011859563,0.1216197571345813,1.5252260701576366,0.9974190182235176,1.208788444861653,0.2753968495137648,1.1023721526375094,0.513023972267424,0.0823472340901692,1.244937260945638,0.0942821105,2.3112729390462237,1.1486829121907551,0.8611628214518237,0.6744976086077262,0.9418474776936385,0.6267670140887832,0.8956527709960938,-0.6979525883992513,-0.0768260956,-1.2823583682378132,0.31124699115753185,0.1770383119583131,0.8082293634379244,-0.0007767392607229695,0.5031848327520342,0.8994303492518374,1.4272374011859563,0.12161975713458135,1.5252260701576366,0.9974190182235176,1.2087884448616515,0.2753968495138002,1.1023721526375099,0.5130239722674425,0.3957748410812199,0.3976188410812198,0.06875540848113941,0.9976335468520451
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",2024-01-05,11.76602389017745,102064.30680338542,0.0,0.775670178001068,0.7054717938105265,0.3224496444066365,32.677059485032586,-115.4871589216076,1.2871798624462236,1.655877017000827,57.96439225540108,0.17844240895485,-0.0112803805918288,0.7756701780010679,12.444921747843466,12.25945625305178,13.51894660000005,-0.6788978576660156,-0.49343236287433,12.136365085177985,0.38514834758712135,12.663824156481391,0.7071202977851203,101747.2236328125,102157.60791015624,102165.0879,317.0831705729215,-93.30110677081393,101954.85476345486,205.23562024592766,101964.26941462055,153.98382767806066,0.0101476908298536,0.0025868415605145,0.000852,-0.0101476908298536,-0.0025868415605145,0.12863576409927183,0.21180899024743222,0.05825236170158192,0.1390541276200347,2.424656419409474,1.299697584147161,0.8871549145877883,-1.648986241408406,-0.524027406146093,1.541261450936159,0.7907866131743103,1.4313773901053515,0.517688914572146,2.393620173136393,1.2562039693196614,0.84823672,-1.6881483793258667,-0.5507321755091349,1.2440571255154087,1.155684346633059,1.270324343784552,0.7060475534465626,-0.3867055972417195,0.3334147532780965,-0.259881337,0.709155241648356,-0.010965108871460016,0.2807873090108237,0.6427969991101132,-0.04504523949525433,0.5241834178831474,2.424656419409474,1.299697584147161,0.8871549145877883,-1.648986241408406,-0.5240274061460931,1.5412614509361573,0.7907866131743206,1.4313773901053517,0.5176889145721605,0.3859072922978155,0.4077665319110734,0.08590610426133272,0.9963032375991965
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",2024-01-06,12.131395594279011,102106.13525390624,0.0008523463748133,0.9353326042538388,0.9185707966486611,0.1762803792953491,32.677059485032586,-115.4871589216076,1.2871798624462236,1.655877017000827,57.96439225540108,0.17844240895485,-0.0112803805918288,0.9353326042538388,11.76602389017745,11.704717254638696,13.61737400000004,0.3653717041015607,0.4266783396403149,11.971887630886542,0.4108047988361096,12.413406626506733,0.6628176022071385,102064.30680338542,101959.73274739584,101839.7422,41.82845052081393,146.4025065103924,101923.75439453125,161.57433481460856,101949.87211510415,135.70467602212645,0.0,0.3731727599074474,0.000134,0.0008523463748133,-0.3723204135326341,0.12777348357910034,0.21258256636940992,0.05813064741586763,0.13911310438439498,0.775670178001068,0.8994303492518375,1.5629595632588065,0.15966242625277083,0.03590225500200128,1.3665856488874615,0.9184032129581349,1.4154509991643915,0.538517899621049,0.7054717938105265,0.0823472340901692,1.548470815,0.21309900283813465,0.836223562558492,1.0604797336790304,1.1958338629254222,1.249929354328913,0.7221504504214088,0.3224496444066365,0.8956527709960938,-0.212322235,-0.1461692651112874,-0.7193723917007446,0.2771322727203371,0.6423791670655298,0.03814490070569374,0.5305756745300921,0.7756701780010679,0.8994303492518374,1.5629595632588065,0.15966242625277094,0.03590225500200139,1.3665856488874597,0.9184032129581446,1.4154509991643915,0.5385178996210631,0.38332045073730103,0.4069145319110734,0.10303137904317879,0.9946781061893646
"1029 ETHEL ST, CALEXICO HIGH SCHOOL",2024-01-07,12.467980321248376,101285.7705078125,0.0179290771029627,0.7708326936894796,0.6497033437093099,0.4148115317026774,32.677059485032586,-115.4871589216076,1.2871798624462236,1.655877017000827,57.96439225540108,0.17844240895485,-0.0112803805918288,0.7708326936894796,12.131395594279011,12.444921747843466,12.86903220000005,0.3365847269693649,0.02305857340491002,12.114113744099981,0.33977871040965,12.201123997118016,0.39801767662877713,102106.13525390624,101747.2236328125,101920.6559,-820.3647460937354,-461.453125,101972.55523003473,196.26041717009252,101987.9282656622,137.0196036739654,0.0008523463748133,0.0101476908298536,0.0008579999999999,0.0170767307281494,0.007781386273109099,0.0036666790682223,0.005628877217470499,0.058233268326555246,0.13906344703653045,0.9353326042538388,2.424656419409474,1.518505498896438,-0.1644999105643592,-1.6538237257199944,1.3785530672214616,0.9094625831684959,1.3257900050208244,0.5616182583730991,0.9185707966486611,2.393620173136393,1.518454234,-0.2688674529393512,-1.743916829427083,1.3392209211985275,0.9193318949748425,1.1599436374215788,0.7179829528547427,0.1762803792953491,-0.3867055972417195,0.0124775569,0.23853115240732833,0.801517128944397,0.03734147548675551,0.37443731575924033,0.09365955989074361,0.5202303594088435,0.9353326042538388,2.424656419409474,1.518505498896438,-0.1644999105643592,-1.6538237257199944,1.3785530672214603,0.9094625831685058,1.3257900050208247,0.5616182583731135,0.0110000372046669,0.40763287828588674,0.1201261651823505,0.9927586335250793
1061-A Leesville Ave,2024-01-01,11.846985753377282,102085.83561197916,1.964050531285,0.5228798940401695,0.5148754119873047,-0.0911410649617513,30.462246287291286,-91.17921675794754,18.9176638110088,3.31438710418382,51.65640615358263,0.3931458802914672,-0.0496997138508588,0.5228798940401695,9.371392200000004,6.331934900000022,15.592323600000045,2.475593553377278,5.515050853377261,7.734748700000016,1.5331609230880061,10.064762200000018,3.1442467677522568,102044.7393,101959.4212,100999.0413,41.09631197915587,126.41441197915992,102009.24533333334,44.427579319913946,101677.73557142857,373.7367216720568,0.0008579999999999,0.000852,12.8450125,1.9631925312850003,1.963198531285,0.0005700000000023351,0.0004936443381246408,1.8365685000000007,4.8542684188778376,1.8620355820385688,2.740030841789132,1.8721993701879127,-1.3391556879983992,-2.2171509477489626,2.183423109522544,0.48395798122318145,2.054472531255518,0.4664233094780743,1.012228648,2.587006251,1.830089211,-0.4973532360126953,-2.0721308390126953,1.849094178999998,0.7920384870785425,1.6310035274285721,0.7251518212728348,1.562872251,-0.902866364,-0.394846757,-1.6540133159617512,0.8117252990382486,0.22820059446666444,1.2454147438430172,-0.34893925994285774,1.1706634240792657,1.8620355820385694,2.7400308417891313,1.8721993701879134,-1.3391556879984,-2.2171509477489617,2.1834231095225425,0.483957981223166,2.054472531255518,0.46642330947808025,0.0017100000000070054,12.855979500000005,0.017201575418260506,0.9998520419557735
1061-A Leesville Ave,2024-01-02,8.104915237426837,102384.52457682292,0.0025868415605145,2.228192386663109,-1.8065401713053384,-1.30432124932607,30.462246287291286,-91.17921675794754,18.9176638110088,3.31438710418382,51.65640615358263,0.3931458802914672,-0.0496997138508588,2.228192386663109,11.846985753377282,7.50091900000001,11.043017300000033,-3.742070515950445,0.6039962374268271,9.573098984459103,2.1800431822275796,9.529713936196767,2.233688118723998,102085.83561197916,102023.5755,101632.5695,298.68896484376455,360.94907682291523,102051.38347065973,31.65737099836165,101832.99190171131,250.08760302928695,1.964050531285,0.0,0.00836,-1.9614636897244855,0.0025868415605145,0.6549695104283356,1.1336975008427475,0.2821453616121439,0.7416563231673082,0.5228798940401695,1.9482029047399296,1.7491567254299554,1.7053124926229395,0.2799894819231794,1.444372793606223,0.7991983951675665,1.8617126060915545,0.7480822149145802,0.5148754119873047,1.948047638,0.447608908,-2.321415583292643,-3.754587809305338,1.1583838993290996,0.7276789645660167,1.4431158418553298,0.8280564963934892,-0.0911410649617513,0.0245958964,-1.690915585,-1.2131801843643188,-1.32891714572607,0.49877569414608075,0.9233498106284049,-0.30555273250882226,1.1743006990383622,0.5228798940401695,1.9482029047399296,1.7491567254299554,1.7053124926229395,0.2799894819231794,1.444372793606222,0.7991983951675424,1.8617126060915548,0.7480822149145886,1.964908531285007,1.9750175312850071,0.03439806061360801,0.9994082116062598
1061-A Leesville Ave,2024-01-03,8.533574676513695,101763.81608072916,27.278292179005295,2.457711288483012,-1.7682997385660808,-1.7068862915039062,30.462246287291286,-91.17921675794754,18.9176638110088,3.31438710418382,51.65640615358263,0.3931458802914672,-0.0496997138508588,2.457711288483012,8.104915237426837,9.371392200000004,12.137382100000025,0.4286594390868572,-0.8378175234863097,9.774431063601378,1.903313736820001,9.109985070114883,2.177266393298921,102384.52457682292,102044.7393,101491.734,-620.7084960937646,-280.92321927084413,102171.6998296007,185.45351570407968,101940.41405554315,305.0970812173173,0.0025868415605145,0.0008579999999999,0.000897,27.27570533744478,27.277434179005294,0.6558317909485072,1.1329509926072407,0.2813206246922174,0.7420146439174634,2.228192386663109,1.8620355820385688,1.532358147482246,0.22951890181990287,0.5956757064444431,1.5377026209139497,0.897728565117489,1.9301462719820053,0.7579158306978925,-1.8065401713053384,1.012228648,1.433247765,0.03824043273925759,-2.780528386566081,-0.0931453704393465,1.5045369281174432,1.12109454481171,1.4695470677267914,-1.30432124932607,1.562872251,0.542146047,-0.4025650421778362,-3.269758542503906,0.055803312237390656,1.4392338689631965,-0.2503249702696894,1.1053544203588543,2.228192386663109,1.8620355820385694,1.532358147482246,0.22951890181990287,0.5956757064444425,1.5377026209139484,0.8977285651174692,1.9301462719820053,0.7579158306978993,1.9674953728455216,1.9692443728455218,0.051584366869408364,0.9986686402879997
